,model,mean Correlation,K,Train,Test
0,Top 3,0.6008018820779227,3,AIforCovid,AIforCovid
1,Top 5,0.6186998111020419,5,AIforCovid,AIforCovid
2,Top 7,0.6517424117052144,7,AIforCovid,AIforCovid
3,Top 9,0.6649498238198134,9,AIforCovid,AIforCovid
4,Top 11,0.6640781375117122,11,AIforCovid,AIforCovid
5,Top 13,0.6690164888805902,13,AIforCovid,AIforCovid
6,Top 15,0.6624465548556208,15,AIforCovid,AIforCovid
7,Top 17,0.6511299546355417,17,AIforCovid,AIforCovid
8,Top 19,0.6456661903143864,19,AIforCovid,AIforCovid
0,Top 3,0.727085527704193,3,AIforCovid,COVIDX
1,Top 5,0.7465634031591137,5,AIforCovid,COVIDX
2,Top 7,0.7601357472314716,7,AIforCovid,COVIDX
3,Top 9,0.7673449236202663,9,AIforCovid,COVIDX
4,Top 11,0.7746757767331415,11,AIforCovid,COVIDX
5,Top 13,0.7767811146457911,13,AIforCovid,COVIDX
6,Top 15,0.7737831933087409,15,AIforCovid,COVIDX
7,Top 17,0.7781316050479092,17,AIforCovid,COVIDX
8,Top 19,0.7736761698888479,19,AIforCovid,COVIDX
0,Top 3,0.4415536328422692,3,AIforCovid,Brixia
1,Top 5,0.4836709351515031,5,AIforCovid,Brixia
2,Top 7,0.4728874776617044,7,AIforCovid,Brixia
3,Top 9,0.462068482930766,9,AIforCovid,Brixia
4,Top 11,0.4683349405610204,11,AIforCovid,Brixia
5,Top 13,0.4786417721553718,13,AIforCovid,Brixia
6,Top 15,0.4824412708969948,15,AIforCovid,Brixia
7,Top 17,0.4867035808383908,17,AIforCovid,Brixia
8,Top 19,0.4860239874745046,19,AIforCovid,Brixia
0,Top 3,0.5304675511336674,3,COVIDX,COVIDX
1,Top 5,0.5459315421553382,5,COVIDX,COVIDX
2,Top 7,0.5752353159898113,7,COVIDX,COVIDX
3,Top 9,0.5944094935262341,9,COVIDX,COVIDX
4,Top 11,0.5988206706563363,11,COVIDX,COVIDX
5,Top 13,0.6071042150082298,13,COVIDX,COVIDX
6,Top 15,0.6107365877425884,15,COVIDX,COVIDX
7,Top 17,0.618706299160714,17,COVIDX,COVIDX
8,Top 19,0.6222778288382832,19,COVIDX,COVIDX
0,Top 3,0.6025371813226053,3,COVIDX,AIforCovid
1,Top 5,0.6048568616201347,5,COVIDX,AIforCovid
2,Top 7,0.6033918829766652,7,COVIDX,AIforCovid
3,Top 9,0.6091602354813491,9,COVIDX,AIforCovid
4,Top 11,0.6097588413427459,11,COVIDX,AIforCovid
5,Top 13,0.6029685567918925,13,COVIDX,AIforCovid
6,Top 15,0.6035399307603935,15,COVIDX,AIforCovid
7,Top 17,0.6054757901999535,17,COVIDX,AIforCovid
8,Top 19,0.6018427207004867,19,COVIDX,AIforCovid
0,Top 3,0.4920379532272758,3,COVIDX,Brixia
1,Top 5,0.5197354829384362,5,COVIDX,Brixia
2,Top 7,0.5092963222315069,7,COVIDX,Brixia
3,Top 9,0.5156934655948848,9,COVIDX,Brixia
4,Top 11,0.4817865762906897,11,COVIDX,Brixia
5,Top 13,0.4897092756463942,13,COVIDX,Brixia
6,Top 15,0.4978206576565,15,COVIDX,Brixia
7,Top 17,0.5129219086038631,17,COVIDX,Brixia
8,Top 19,0.5073052531491616,19,COVIDX,Brixia
