,model,mean Q,K,Train,Test
0,Top 3,0.9677733537793041,3,AIforCovid,AIforCovid
1,Top 5,0.9699846511147826,5,AIforCovid,AIforCovid
2,Top 7,0.9756044594191294,7,AIforCovid,AIforCovid
3,Top 9,0.9774960549835576,9,AIforCovid,AIforCovid
4,Top 11,0.976817915426969,11,AIforCovid,AIforCovid
5,Top 13,0.9773756401200774,13,AIforCovid,AIforCovid
6,Top 15,0.975423794733259,15,AIforCovid,AIforCovid
7,Top 17,0.9729647533351871,17,AIforCovid,AIforCovid
8,Top 19,0.971585132420948,19,AIforCovid,AIforCovid
0,Top 3,0.9728513813110318,3,AIforCovid,COVIDX
1,Top 5,0.9751269075004878,5,AIforCovid,COVIDX
2,Top 7,0.97729207434589,7,AIforCovid,COVIDX
3,Top 9,0.9782775069076256,9,AIforCovid,COVIDX
4,Top 11,0.9794471966669557,11,AIforCovid,COVIDX
5,Top 13,0.9796129131794712,13,AIforCovid,COVIDX
6,Top 15,0.9789336180429334,15,AIforCovid,COVIDX
7,Top 17,0.9797947281517748,17,AIforCovid,COVIDX
8,Top 19,0.9788756220428255,19,AIforCovid,COVIDX
0,Top 3,0.9206792948933625,3,AIforCovid,Brixia
1,Top 5,0.9264736896986255,5,AIforCovid,Brixia
2,Top 7,0.9067812514548467,7,AIforCovid,Brixia
3,Top 9,0.9065720012883692,9,AIforCovid,Brixia
4,Top 11,0.908280428896486,11,AIforCovid,Brixia
5,Top 13,0.913838774397726,13,AIforCovid,Brixia
6,Top 15,0.9137447486980195,15,AIforCovid,Brixia
7,Top 17,0.915552776909642,17,AIforCovid,Brixia
8,Top 19,0.9126306125587251,19,AIforCovid,Brixia
0,Top 3,0.9390175041273344,3,COVIDX,COVIDX
1,Top 5,0.9425129763698008,5,COVIDX,COVIDX
2,Top 7,0.9495010923275756,7,COVIDX,COVIDX
3,Top 9,0.9545221738831101,9,COVIDX,COVIDX
4,Top 11,0.9546608769965682,11,COVIDX,COVIDX
5,Top 13,0.9561470103636911,13,COVIDX,COVIDX
6,Top 15,0.9567165360812973,15,COVIDX,COVIDX
7,Top 17,0.958388673943599,17,COVIDX,COVIDX
8,Top 19,0.9588182700662153,19,COVIDX,COVIDX
0,Top 3,0.9468997072991004,3,COVIDX,AIforCovid
1,Top 5,0.9453730781940083,5,COVIDX,AIforCovid
2,Top 7,0.9473195099957238,7,COVIDX,AIforCovid
3,Top 9,0.9497161486427679,9,COVIDX,AIforCovid
4,Top 11,0.9496436447937209,11,COVIDX,AIforCovid
5,Top 13,0.9460417414939418,13,COVIDX,AIforCovid
6,Top 15,0.9469635341809359,15,COVIDX,AIforCovid
7,Top 17,0.9478297363713014,17,COVIDX,AIforCovid
8,Top 19,0.9460916351664863,19,COVIDX,AIforCovid
0,Top 3,0.9122465107969424,3,COVIDX,Brixia
1,Top 5,0.9078013286658444,5,COVIDX,Brixia
2,Top 7,0.9095253420798274,7,COVIDX,Brixia
3,Top 9,0.9180873439567493,9,COVIDX,Brixia
4,Top 11,0.8759192790249686,11,COVIDX,Brixia
5,Top 13,0.8821409139938533,13,COVIDX,Brixia
6,Top 15,0.8933975876056616,15,COVIDX,Brixia
7,Top 17,0.9017642971140519,17,COVIDX,Brixia
8,Top 19,0.8997970308891725,19,COVIDX,Brixia
